labels,text
1,"Ørsted har startet bygginga av 750 MW havvind-felt, første turbin kommer til våren. Norge har 1 kabel a 700 MW direkte til Nederland, samt 1 like stor kabel via Danmark. Snart får vi inn nederlandsk havvind i det norske strømnettet. https://t.co/wQ0wx9tGXq"
1,RT @EWaerness: Øystein Noreng drøfter faktorer som vil påvirke potensialet for vekst i ny fornybar elektrisitet https://t.co/kzP6odjPsl
1,"Økning av CO2-avgift til 2000 kr/tonn vil gjøre fossil kraft på sokkelen 0,75 kr dyrere per kWh enn dagens avgift, og kan gjøre selv flytende havvind konkurransedyktig som kraftkilde for plattformer. Det er åpenbart at @Norskoljeoggass dummer seg loddrett ut på #polkvart."
1,@Haneye Vindkraft!!!
0,@fenilsen Å diskutere religion med troende er som å kjempe mot vindmøller.
0,"@abjartnes @olehelgesen7 @Bjorn_L_Bang Statlige inntekter fra petroleumsvirksomheten i 2020 er nedjustert fra 245 til 98 mrd.

Vindkraft gir tilnærmet null i inntekt for 2020, men betydelige statlige og kommunale inntekter fra vannkraften. Dog mindre enn petroleumsvirksomheten."
1,"«Når industrien selv sier at for at Norge skal ta en ledende rolle i havvind, må vi ha et stort hjemmemarked, bør ministeren lytte». Klokt og godt fra @hildeo i @StvAftenblad https://t.co/74hxKLtxQA @hsolb @Lasikos @EspenBarthEide @LeneWestgaard"
0,Hvorfor velger journalister i NRK denne typen helt urimelige og usaklige vinklinger? Si ja til vindkraft - ellers legger vi ned skole og aldershjem!
0,"Den største eigaren i BKK vil ut av vindkraft, men BKK held fram planane om å utbygge vindkraftanlegg i Masfjorden, skriv BT. I tillegg er mange av eigarkommunane i BKK negative til vindkraft på land. Kva driv leiinga i BKK med? @Statsmin_kontor @oeddep @kldep @NVE https://t.co/bOGGFslsGv"
1,"RT @uibjus: Energiomstillinger krever rettsvitenskap: - Ingen juss, ingen havvind, mener førsteamanuensis Ignacio Herrera Anchustegui @i_he…"
1,"'Når forandringens vinder blåser, vil noen bygge skjul. Andre bygger vindmøller'. #grønnvekst @BIexecutive @estoknes https://t.co/ltNICEjBmQ"
1,Hadde de vært en ide å bygge vindmøller på oljeplattformene og hente ut ren vindkraft fremfor olje?
1,RT @moenduran: Bra vindkraft i den halen. https://t.co/9LRA5FqHHy
1,#Veidekke bygger nordens største #vindpark https://t.co/tu3h1ClHmn #vindkraft #Fosen
1,Det går rett vei både for sol og vind ute i verden:  https://t.co/MG2CP7m0Tj #verdtåvite
0,"Joda, den har vi lest grundig. Bestilt og finansiert av NVE og vindkraftutbyggere. Vi overraskes ikke av ""funnene"". 
Men nå får NHH sjansen til å utdype sin rapport, så får vi se... https://t.co/sMymtwDOKl"
0,"RT @Naturvern: - Vindkraft på land har ført til enorme konflikter med natur og naturbaserte næringer.

- Konsesjonssystemet har vist seg å…"
0,"Politikere som hevder dette er lønnsomt har rett.   At det ikke er lønnsomt for oss som betaler er detaljer. 

«Det burde etter hvert være en kjent sak at det skal settes opp tusenvis av vindmøller for å sikre Europa såkalt «grønn kraft».  https://t.co/ZmgVNjmR1Z"
0,"@toinil @AndreasAasheim @paalfrisvold @NorskIndustri @NORWEA @Alcoa @Naturvern @turistforening ""Lønnsom"" er blitt vindkraftbransjens mantra. Er den det, med subsidier til 2035, nye støtteordninger (GIEK), linjekostnader etc?  
For ikke å snakke om naturkostnadene. Er norsk vindkraft ""lønnsom"" i et helhetlig samfunnsperspektiv? Svaret er et rungende nei!"
1,RT @PeterMHaugan: @FinnGN treffer spikeren på hodet. Det haster med å få skalert opp de teknologiene som er eller veldig raskt kan levere e…
1,I væskeform er energitettheten 50% høyere for ammoniakk.  50% mer hydrogen (H2) dersom ammoniakk (NH3) benyttes som energibærer for hydrogenet. Viktig å bruke elektrolysør som takler svingningene (variabelt pådrag) i kraftproduksjonen fra vindmøller aller best. https://t.co/5OS3HpVIzA
1,VINDKRAFT - Leverandørindustrien krever norsk havvindpark - http://t.co/AhVtfhajz8 http://t.co/wIHBmxBdba via @teknisk @sintef @NOWITECH
1,RT @PaarupMichelsen: Er Noreg hestevognprodusenten som ikkje ser bilen kome? Oversikta over havvind-siter i Nordsjøbassenget tyder på det. …
0,RT @jenskihl: Denne saka er ellevill. Les heilt ned til der du får vite at NRK leigde inn ein frilansfotograf til å fotografere tomme flagg…
1,"RT @syslagronn: Norske WindSim, som leverer til vindindustrien, er nå etablert på sitt femte kontinent: https://t.co/E7rG3wMKMU"
0,RT @rad_crew: De pusher fremdeles Smartglass på samme måten Don Quixote pusher vindmøller
0,"@JanBae82 @tomnysted @Agder_Energi Men når det er sånn, og vi får stadig mer nedbør og mer vann i magasinene; hvorfor da vindkraft i Norge?"
1,"Havvind og karbonfangst og lagring har potensial for å skape nye industrieventyr i Noreg, og passar godt i høve omstilling av olje- og gassnæringa, seier konsernsjef Eldar Sætre til @NHO_no sin årskonferanse 
#NesteTrekk 
@Equinor
@EquinorASA 
@UniStavanger https://t.co/Zme0TkNOdH"
0,"@mogadonen Akkurat den delen er grei. Men at en person som er såntil de grader skadd og hemmet må kjempe som mot vindmøller og stadig møte vansker og håpløst byråkrati er generelt sett uverdig en velferdsstat. Hun ønsker bidra med å jobbe, hjelp henne, ikke motarbeid."
1,"- Statnett frykter kraftunderskudd og dyrere strøm, sier Statnett.

Sier vi nei til vindkraft, risikerer vi industrien vår, du får dårligere råd, og vi klarer ikke klimamålene våre.

Litt av et kinderegg, hva, @ingridfiskaa, @bmoxnes? Politikk betyr noe.

https://t.co/dicGopKZYF"
0,"Avventer om vindkraft har noe for seg, sånn egentlig, men vakkert er det ikke. No way."
1,"@kristinlinnerud @IpsosNorge @CICERO_klima Enig i at det var rart at premisset var ""vindkraft i urørt natur""."
0,"RT @kim_andre: Det bør kanskje planlegges inn noen klimavennlige vindmøller langs denne veien, så kanskje det blir ordentlig motstand mot d…"
1,"@ErikMartiniusse @Teknisk God artikkel, men bruken av begrepet virkningsgrad for vindkraft er forvirrende. Virkningsgrad brukes om andelen av bevegelsesenergien i vinden som omgjøres til strøm - maksimum i området 45 - 50 %. De 60 % det er snakk om her omtales som kapasitetsfaktor."
1,"RT @Essensielt_no: Vindmøller dreper svært få fugler og flaggermus, og er langt mindre skadelig for dem enn fossil kraftproduksjon. https:/…"
1,RT @arildhermstad: Enorme muligheter for fornybarnæringen til havs!  MDG  foreslår nye tiltak som kan skape et nytt norsk industrieventyr i…
0,"@tv2nyhetene @tv2nyhetene  , jeg prøver igjen. Hvorfor er linken og nyheten om millioner fra vindkraft i Norge overført til Cayman , fjernet og slettet ??"
0,"Velkommen etter.!

Dette har jeg sagt i mange år og Svensk Vindkraftsforening melder om krise vedrørende levetiden og driftskostnader for vindkraft 🙄🙄👉

https://t.co/k5599A3VfQ"
1,"RT @Statkraft: Svalbard bør bli et fornybarsamfunn! Statkraft foreslår å bruke #fornybar hydrogen, produsert med #vindkraft i #Finnmark og…"
1,"@Pjaki82 @ronnykalv @Lan_Marie Hyggelig at du er interessert i politikken vår! Her finner du alt om hvordan vi ville styrt finansene for å få det til å gå rundt om vi fikk bestemme: https://t.co/f5xqw8m1Mm

Når det gjelder strøm er det nok: https://t.co/nV8NdKTjhF

I tillegg vil vi ha mer sol- og vindkraft"
1,"RT @syslagronn: Aker Solutions hiver seg på flytende havvind. - Vi ser et enormt potensiale, sier direktøren. https://t.co/q1ZrvvQarX https…"
1,"@AndreasAasheim @KalleHesst @laraskiftetleve Nei, vi bare lurte på hvor de mange arbeidsplassene i vindkraft kommer; etter anleggsperioden."
0,"Hvis dette er reelle tanker, er det direkte galskap!
Nordnorsk debatt - Skal Norges nasjonalfjell pakkes inn med naturødeleggende vindturbiner? https://t.co/5qUgv5QA0Z"
0,"@ErikMartiniusse 60% av tiden blåser det for mye eller lite. Og planen din er altså at hvert «område» skal ha vindmøller nok til å forsyne eget område, PLUSS områdene hvor det ikke blåser? Er du helt forrykt?  Har du regnet på det tøvet?"
1,"RT @FosenVind: Fosen Vind installerer kraftigere 4,2 MW-turbiner i de tre vindparkene som ferdigstilles i 2020. Det gir 183 GWh mer kraft i…"
0,@LaNaturenLeve @Teknisk Dere har tidligere påstått at dere ikke er i mot vindkraft per se. Den påstanden faller nå på egen urimelighet.
1,"RT @IvarSlengesol: Friske visjoner i det vi våkner til første dag av den europeiske havvindkonferansen i København.

Norge kan bygge ut 30…"
0,"DNB varsler milliardtap.

Vi finner nok kunden blant de som har drukket champagne i 15 år og nå bil ha statlig satsing på havvind."
1,RT @JohnTande: 2/2 Støtter @rasmusjmh sitt forslag om demopark for #havvind  https://t.co/F5pAsmDURR #COP21 @TSundtoft @tordlien @NorskIndu…
0,"RT @mpenergi: Meget bra fra Asplan Viak og kler bransjen naken 👉

«Vindkraft er unntatt fra arealplanlegging i Norge. Vår oppfatning er at…"
0,Freiberg: – Ikke marked for havvind i Norge https://t.co/dF9Sep9tZ9
1,@HaukLandsverk Det vil kreve energi å komme dit. Då er vindmøllene ikkje ei dårleg løysing.
1,@LaNaturenLeve vindkraft for enhver pris er ingen god løsning jmf Fosen utbyggingen @EnergiEmil @geirwaage @YngveBrox
1,"@Statkraft følger i @Orsted's fotspor og vil selge deler av sol- og  vindprosjekter til investorer for å sikre seg penger til nye utbygginger. #fornybar #fornybarenergi @Fornybar @fornybarenergi @fornybarenergi 
https://t.co/ootNZcCIrY"
1,Da har vi hatt fire innlegg på Naturvernforbundet sitt møte om vindkraft. Nå pause. Stillingen er 4-0 for naturvern mot klimavern.
1,"RT @Makro_no: @NicoOyen Vindenergi - Tall, prosenter og megawatt. Det er iallefall ganske stigende grafer http://t.co/992dPknAv6"
1,RT @Teknisk: Regjeringen åpnet nylig Sørlige Nordsjø for flytende havvind. Greenstat og Universitetet i Bergen mener energien kan brukes i…
1,"@Anduril100 @mpenergi @oskuls @PaarupMichelsen Hmm.. Selv om vi gjør mye bra innen hydrogen og havvind, så ser jeg det som en risiko at vi taper muligheter internasjonalt ved å ikke bruke mer statlige insentiver i en kritisk fase nå.."
1,"@LaNaturenLeve Hva skal jeg reagere på? Hvem har, noen sinne, sagt at vindkraft skal dekke alt kraftforbruk alene?

@ElsaWidding må gjerne lobbe for mer kjernekraft som tilkallingsvikar. Sist jeg sjekket er ei heller Sverige er en isolert øy. Se på Danmark, så dør tallene hennes."
1,"@solves Også fra artikkelen: «– Norge er i den heldige situasjonen at vi har mye kraft, både fornybar gjennom vann- og vindkraft, men ikke minst fra naturgassen, som kan brukes til dette.»"
1,"Jeg ser Rune Haaland og Sylvi Listhaug er enige med alle andre i at det ikke bør gis konsesjoner der kommunen selv sier nei til vindkraft.

Det må bety at dere vil respektere de konsesjonene der kommunen selv ønsker det da? Respekten for lokaldemokratiet går begge veier, hva?"
0,@Nina_Jensen @FerdOwner Nesten ikke mulig å bygge ut vindkraft uten å ødelegge natur og miljø. Dette hendte på Lista: http://t.co/Jnfm09ESZy
1,"Equinor har i høst utredet mulighetene for å forsyne Gullfaks- og Snorre-feltene med strøm fra flytende havvind.
Prosjektet kan gi mer enn 200.000 tonn i reduserte CO2-utslipp per år, noe som tilsvarer utslippene fra 100.000 personbiler.

https://t.co/knYhUy54IR"
1,"Den norske motstanden mot vindkraft skader klimaet sier kommunikasjonssjef Stian Mathisen i energiselskapet Fortum forutsigbart. - For oljenasjonen Norge vil offshore vind kunne bety så mye mer enn landbasert -kompetanse, mer energi, eksport, uberørt natur https://t.co/3ogoCfpfs2"
1,"RT @Vindenergi: Det flyter avgårde, si. Første flytende vindturbin på vei ut til skotske Kincardine test-vindpark. https://t.co/2T6DMJXDTX"
0,"Tyskland kjøper seg rettigheter til STABIL vannkraft ved å bygge ustabil norsk vindkraft.   Kortsiktig økonomisk gevinst for stat, kommuner og andre kjeltringer.  På lang sikt vil det ruinere oss."
0,"@McAdolpho @kvatningen I Nederland utgjør fornybar kraftproduksjon (vindmøller) ca. 10% av
total kraftproduksjon. Nærmere 60% er gasskraft og over 25% er kullkraft, de resterende prosentene er kjernekraft."
0,"@TidsskriftetP @UlrikaJansson6 @BioFokus Urovekkende utgangspunkt for naturhensyn ved #vindkraft og annen nedbygging av #natur, @rommetweet @iselinelise @TirilSolvang @kldep @Rotevatn @MotvindN @UlrikaJansson6 @KnutOlavAmas @Partiet @WWFNorge @Naturvern @SVparti @CSpange @Arbeiderpartiet @NVE @oeddep @TrulsGulowsen"
1,Min stemme til hausten går til det partiet som går inn for bompengefinansiert vindkraft.
0,"Elbil &amp; vindkraft er ikke lønnsomt

Hydrogen er løsningen

El-ladning &amp; batteri er rent tull
MDG er en religiøs fantast bevegelse 

Elbillading kan knele strømnettet https://t.co/O1ha2A5EVy 
#dax18  #nrknyheter #nrkdebatt"
1,tu.no - Havvind: 15 områder skal utredes - Teknisk Ukeblad http://bit.ly/pN0Drb
1,Det er på de norske vinnerområdene shipping og offshore at norske bedrifter gjør det best på vind til havs. https://t.co/0rgDJmHTdh
0,"@WWFNorge Sol er bra, men hvorfor er der alltid blomster foran bilder av fornybar energi som vindturbiner og solkraftverk?"
0,"RT @LarsAarset: Lurer du på hvor nettleien din blir av?
""De utenlandske eierne drar inn millioner før vindparken har åpnet"" #vindkraft
http…"
0,RT @kristinlinnerud: Ny spørreundersøkelse finansiert av DNT setter søkelys på naturinngrep ved vindkraftutbygging. https://t.co/oWHo75Bkvg
0,@kkristensen_ Derfor er vi VELDIG mot havvind i innsjøer!!
0,"@alulvangsky @fredriksolvang Energifattigdom har kommet for fullt i Tyskland og Australia, og årsaken er #vindkraft som ikke virker. Men siden fattigfolk ikke teller, er det ingen som bryr seg om det - aller minst klimakåte politikere. Men det VIL skje i Norge også. #nettleie 
https://t.co/SEjLCQTTRN"
1,"RT @abjartnes: Vindkraft; mange hensyn å balansere for den nye @NVE -sjefen @lundkjetil .
https://t.co/rRBPpGiVh7"
0,Hva skjer @turistforening? I samme blad fra dere så er dere imot vindkraft og reklamerer FOR Lundin og oljevirksomheten deres? https://t.co/drCmhAzQ4r
1,"@arveaksnes @NordahlGriegvgs @linmarieho @UbygdeKraftverk @UiB Vi i LNL snakker gjerne med elevene om fornybar, særlig norsk vindkraft"
1,RT @UiBmatnat: Vil du vite meir om vindkraft? Kom på frukostmøte og møt ekspertane våre! https://t.co/CGhrNR8yzN https://t.co/EGweVL7heV
1,"Dette har muligens vært historiens viktigste klimauke i Norge!

Mandag: Forpliktende klimamål sammen med EU🌍

Tirsdag:Første konsesjoner i historien for havvind⚡️

Torsdag: Handlingsplan for å halvere utslippene i maritim sektor⛴

Fredag: Historisk klimaavtale med landbruket🚜"
0,@Berekvam Fem timer med vindmøller? Tar med et par ekstra bøker. @geirls
0,Plan for vindmøllene: Naturvernforbundet i Vest-Agder er kritisk til at NVE behandler søknadene om 10–12 vindmøl... http://bit.ly/g0kGmT
0,RT @CristinaKar11: Det er helt håpløst av NVE å tillate vindkraft midt i fugletrekk. @Venstre @olaelvestuen må stoppe disse prosjektene. ht…
0,"Nå bør Frp, H og Sp møtes for å danne en ny regjering UTEN klimaforvirrede globallister. 

Frp + Sp deler perioden frem til neste valg med valg av statsminister.. H trenger tid til omstilling, landet stopper all satsing på vindkraft, forlater ACER, EØS galskapen. 

#nrknyheter https://t.co/xnPryYx09x"
0,"Kamp mot vindmøller: Den politiske høgresida har forstått det rett, meiner Naomi Klein: Klimakrisa kan berre l... http://t.co/MGZ0EswoJj"
1,RT @zeronorge: Nå er @Statoil i gang med flytende vindkraft. På #Zerokonferansen får du hører mer om muligheten innen #havvind! https://t.c…
1,"Mind-blowing #Hywind! 💨 I løpet av de seks første månedene i drift, har tilgjengeligheten til Hywind Scotland, verdens første flytende #vindpark, vært høyere enn bransjens gjennomsnitt for havvind i Storbritannia, ifølge Sparta. Tallene presentert på #RUKGOW18 i dag! https://t.co/z1JrFgEJ7P"
1,"RT @storebrand_no: Startet kull-exit i 2013, nå utelukker vi 10 nye kullselskaper, blant annet den tyske giganten @RWE_AG. Samtidig øker vi…"
1,"@OddisNaper @Klassekampen Akkurat nå bedriver SV en dobbeltkommunikasjon på et nivå FrP ellers er alene om. Man vil ha et veldig grønt skifte, man vil elektrifisere alt, man vil absolutt ikke ha vindkraft, og man har funnet opp en drøss vassdrag vi enten har fredet eller ikke visste at vi hadde."
1,https://t.co/1e9kUfBnw0 Hanne Wigum leder vind- og solteknologi i @EquinorASA . Hun forteller at selskapet ønsker å bli en stor aktør globalt innenfor havvind. Annonsørinnhold - enerWE Partner @SINTEFenergy @EnergyNTNU
0,"@KjellJVang @JarlWaage @amrama Vindmøller på egnede steder hvor det uansett finnes mengder av rekreasjonsområder i nærheten, ser jeg på som positivt. Dog ikke på steder som Haramsøy, der vindmøllene kommer til å være svært tett på befolkningen."
0,RT @AndreasAasheim: Mener virkelig #Hegnar at 800 MW #vindkraft har veltet det norske kraftmarkedet? Virkelig? http://t.co/xh1yVqZXOI
1,RT @neregsk: Gøy å være på forsiden i Fævennen: https://t.co/MseopgTKIH
1,"#RasmusHanson om #vindturbiner: Vi må gjøre begge deler; både redde klima og naturen, men når EU snart er rikere på grønn kraft enn oss på vannkraft, da strider vindturbinutbygging mot et genuint #GrøntSkifte hvor fortsatt #vekst ikke tåles(!) ift planetens #bærekraft @Partiet 😩"
1,RT @JonBjartnes: Thomas Kåberger på #iref15: Ikke én studie fra forrige århundre viste like stor vekst i vindkraft som vi faktisk fikk 2000…
0,RT @kristinlinnerud: @EinarWilly Mitt inntrykk er at både NVE og kraftbransjen i Norge har lagt svært stor vekt på hva vertskommunen mener…
0,"Statoil bygger ut havvind på grunn av britisk Tory-politikk, ikke Støre. #nrkvalg"
0,"Vil vindkraft erstatte forurensende energi? Forskere sa det trolig vil komme i tillegg,  da sa OED stopp http://bit.ly/hJyCKV"
0,@hsaetness @LeneWestgaard @BBaardsen @Statnett @Statkraft Problemet er at kraftbransjen fyller hodene på våre politikere med misvisende tall som så danner basis for svært ødeleggende og meningsløs kraftpolitikk - som naturødeleggende vindkraft på land. Det var mitt håp at Statkraft ville være mer ansvarlig i så måte.
1,RT @PPreede: Hyggelig besøk fra Statkraft-traineer på Smøla. @Statkraft @Vindenergi https://t.co/BhJ3wa5h6u
0,"@CSpange @pemyh Ganske snevert utdrag av progammene da. Vannkraft må det satses på, men vindkraft er en bløff. Alt for lite kost/effektivt."
0,Arve Johnsen mener Statoil må holde seg til olje og gass; kanskje litt havvind https://t.co/BVwcukR7Do Samme dag kunngjør Aramco at de trekker børsnoteringen i NY. Årsak: Investorene frykter Aramco for oljeavhengig; for lite fornybar. @abjartnes @mortenaanestad @BSverdrup
1,"@NORWEA De foreslåtte avskrivningsreglene medfører investeringsusikkerhet for vindkraft
#høstkonferansen. EØS-avtalen slår inn."
1,"RT @esgya: Jeg skal bare bygge denne veien her, bygge bygge denne hytta her, kjøre med denne snøscooteren her, hogge denne skogen her, legg…"
0,"@mpenergi @EinarWilly Neida. Bare sette opp et par vindmøller, kutte ut oljen, kjøpe Tesla og satse på tang og tare. Null stress🤷🏻‍♂️"
0,"#Vindkraft-industrien fortsetter sin propaganda med teoretiske tall, manipulerte fakta, glansede powerpoints og bestillingsforskning. 
I mellomtiden skjer DETTE i virkeligheten - og det må ingen få vite. 
#klima 
https://t.co/1pS0Yaw6AJ https://t.co/oqmk2wfImy"
1,"TrønderEnergi ber Regjeringen sikre vindkraftutbyggingen på Frøya: 
https://t.co/97Kyn4QCcW"
1,RT @EquinorASA: Vi sier «GO» til nytt pionerprosjekt! Flytende havvind-teknologi tas i bruk for å gi Snorre og Gullfaks – som først i verde…
1,"RT @Partiet: Hva nøyaktig har vi vedtatt om vindmøller, cruisetrafikk og annen ny politikk så langt på #mdglm? Hyggelig at du spør! Du finn…"
1,RT @ErikMartiniusse: Økende interesse for havvind i Norge @NorskIndustri @HoyreTina @Teknisk https://t.co/vqmYEFJT9q
1,RT @arneeik: @ABBNorge @ChulAamodt @EspenBarthEide @zeronorge Takk for god diskusjon på #zerokonferansen i går. Norge har fantastiske vindf…
1,RT @GunnellErika: Norge henger etter. Allerede nå utkonkurrerer offshore vindkraft prisene på kull og naturgass - uten subsidier @ThinaSalt…
0,Skadeverk på anleggsmaskiner som brukes i vindmølleutbygging https://t.co/5o7HrSooPe
0,"@jonalevang @abjartnes @Mohnitor Havvind fjerner neppe mer enn 30% av utslippene fra installasjonene. Trenger konstant kraft og ikke minst varme. 

Viktig at kostnadene ikke skjules under streken i statsbudsjettene. Her må samfunnet få vite hvor mye det betaler for tiltakene."
0,@erna_solberg Du oppfører deg som en diktator..snakker om å bevare natur og ødelegger naturen med vindturbiner..slakter ned naturlig dyrefauna..kryper for utenlandsk kapital og ukultur..folk våkner nå.. du velges langt vekk.
1,Kpasitet på vindenergi opp  39% i USA i fjor..http://bit.ly/7ba8q5
1,RT @filiprygg: Til dere som mener at vindkraft må stoppes pga fulgedød. https://t.co/KJUDhmDsPy
0,@AndreasAasheim Dessverre for deg er ikke vindmøller svar på spørsmålet
0,"Vindkraft er ingen ""grønn"" energi.. https://t.co/MkQDO1DVfo"
1,"RT @EnovaSF: Alt fra støtte til energitiltak i hjemmet ditt til 2,3 milliarder til et flytende havvind-prosjekt. Hør Enova-sjefen i podkast…"
0,"Seriøse lokale motstandere av vindenergi gjør en viktig jobb. De løfter fram kunnskap om lokale økosystemer. De peker på de ikke-materielle verdier som er priset for lavt. Andmyran er godt eksempel, innsikten til ornitologer, har fått meg til å undres over dette prosjektet."
1,RT @kristinlinnerud: Godt skrevet! Det er gode argumenter både for og mot mer vindkraft i Norge.  https://t.co/qeeYwcytno
0,"@AndreasAasheim @DanPederEriksen @Barehebola @EinarWilly @NORWEA «Sterke aktører ønsker å gå tilbake til et vindkraftkonsesjonsregime med ivrige investorer, rask saksbehandling og lite lokal innflytelse. NHO Reiseliv mener regjeringen gjør klokt i å revidere reglene og revurdere praksisen» @NHOreiseliv https://t.co/CZKvgaBEsW"
0,@GetorTw @willynerdal1 Poenget med vindkraft er å knytte oss tettere til EU. Det skaper så ustabile situasjoner at vi må bygge kabler for å importere strøm.
1,"RT @Lassefredheim: Dette har muligens vært historiens viktigste klimauke i Norge!

Mandag: Forpliktende klimamål sammen med EU🌍

Tirsdag:Fø…"
0,"@aselliaas Blir et problem når armene går som vindmøller for å dele ut slag i alle retninger, både over og under beltestedet. Søppel!"
1,"RT @trygvetv: Flott med støtte til 88 MW flytende havvind! Hvis man hadde brukt 2,3 mrd på 30% investeringsstøtte til solceller, hadde det…"
1,Hva er egentlig argumentet mot havvind?
1,RT @ThinaSaltvedt: En super dag for norsk vindkraft http://t.co/tyKuoxreJB @DN_no
1,"@AndreasAasheim @kariekas @Haltbrekken Mens Norge ikke har installert noe vindkraft til havs, har Storbritannia 39 havvindparker på til sammen 8.000 megawatt og rundt 7.200 ansatte innen havvind, og ambisjoner om å mer enn tredoble antallet sysselsatte i bransjen."
